,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
51,87397255.50202242,0.05040908627821554,951550828.2451501,0.6627147514573251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1135856010.6603084,0.8395662348652136,0.0,0.0,0.0,0.0,0.0,0.0,3439849.486964659,0.003331370915339781,0.0,0.0
53,0.0,0.0,288375528.5472559,0.3275423165650157,1244240738.082272,2.649909043211405,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,144755636.38101405,0.13186250614339012,0.0,0.0,0.0,0.0,38449341.042355865,0.033656536888674225,0.0,0.0
55,2222829343.8358183,1.477041600615393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,31747311.48338422,0.024919718712268994,69051741.37110838,0.10157622749001373,18327195.08853377,0.007624922727617836,566022725.2372658,0.40914828634320755,0.0,0.0
57,2280809174.3572855,1.4867825370457033,0.0,0.0,65327083.15974968,0.11170592028342871,0.0,0.0,0.0,0.0,0.0,0.0
58,466996644.89278895,0.30406207448392986,381147513.6139493,0.31914693161260754,0.0,0.0,22604101.091641694,0.00936638924512944,0.0,0.0,0.0,0.0
59,277053613.26366866,0.17128996278860154,229713791.36698228,0.18510329296199815,87723214.56585908,0.13685834106005113,70508698.29220128,0.02803649998772169,0.0,0.0,0.0,0.0
60,1073615907.3655176,0.7156632317639621,6338374.653003968,0.0058343486109389345,1591840955.6585202,2.6379439989479847,25420313.022137873,0.010096044423002382,0.0,0.0,0.0,0.0
61,2477597567.7097273,1.4625199492954883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2406995556.4081984,1.4986217315136348,80490492.4781062,0.07024576909307133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,39258415.89647868,0.042103705334024744,0.0,0.0,0.0,0.0,409612618.57984674,0.4086911931366616,0.0,0.0
64,0.0,0.0,619319558.6337152,0.6769472456324769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2009859180.372742,1.484204364507642,17661872.594460055,0.01802509622726149,83782666.09155087,0.163588369973246,0.0,0.0,671439596.0554979,0.6136967850300099,0.0,0.0
66,1907585385.6098876,1.5001210197545132,592943061.7386897,0.5840739038584545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,18467319.621896602,0.017311935835957033,16429252.82025358,0.020840855778528376,429344408.73204535,0.9781921301710073,0.0,0.0,612536893.148085,0.6847648282295701,0.0,0.0
68,2808165655.962528,1.5065775241804014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,172412853.44145614,0.12042732752243807,8801277.20644169,0.00820485028348935,1635640117.9234018,2.7496387811270746,0.0,0.0,0.0,0.0,0.0,0.0
70,109911215.70822605,0.06886622452928537,57552059.9321305,0.04796968946194116,80526038.56642373,0.12741428939461155,39376951.21320295,0.01627411057539129,74147527.56145588,0.05862222489662633,0.0,0.0
71,187262795.2970423,0.14662990065580814,125710935.46000963,0.1289092347878791,0.0,0.0,0.0,0.0,478189911.3455904,0.4655600978423601,0.0,0.0
72,2281101896.212094,1.4870207479131912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,451834445.45598173,0.29209117822466735,441421757.9841812,0.36557491854074,24812307.055012524,0.040952344626722384,0.0,0.0,0.0,0.0,0.0,0.0
74,100873067.06537277,0.08750167924608448,63177567.93086697,0.0724407781452748,1326018540.8898757,2.751942610741811,0.0,0.0,0.0,0.0,0.0,0.0
75,1782381591.6017547,1.4860946258943384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2501382799.4520855,1.480099479353746,0.0,0.0,1284745749.7014341,1.873892459322354,0.0,0.0,0.0,0.0,0.0,0.0
77,126737059.21219301,0.0999292607644472,0.0,0.0,1426482976.1474936,2.701395447835253,0.0,0.0,0.0,0.0,0.0,0.0
78,2016772958.7081223,1.4905839285132045,0.0,0.0,0.0,0.0,518600.40208879206,0.0001953250585366605,446469041.2149469,0.3902895641056523,0.0,0.0
79,0.0,0.0,154076900.5664064,0.13535291043643918,0.0,0.0,0.0,0.0,1254209.0938919717,0.0010581577830239546,0.0,0.0
80,3034117745.017159,1.5028040272295569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,425347957.34206903,0.3068585258982328,27180064.657303087,0.026027089645809822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,9303810.261882458,0.007535430467666103,11708169.703504078,0.012873456428883559,75540650.37647006,0.15347854163756489,44413523.344457045,0.02331065130808639,0.0,0.0,0.0,0.0
83,1774970983.9567454,1.4783799925183552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1443150029.995304,0.8335505073390581,164566200.0728026,0.12593303929218008,617215927.6371379,0.9083370762422227,0.0,0.0,0.0,0.0,0.0,0.0
85,1739443410.594513,1.48962107920062,0.0,0.0,1193809625.7918901,2.5781632831262353,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,44772303.21424093,0.04262628513342938,150600206.3567524,0.26663043292292626,3419169.142426016,0.0016708594031500383,753087123.6745075,0.6517421293803418,0.0,0.0
87,822405863.8606076,0.5635928664145996,0.0,0.0,1568802913.9268703,2.661505985887188,0.0,0.0,0.0,0.0,0.0,0.0
88,2246105636.917419,1.4585493095880366,9290011.00846659,0.007363427740211944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,9262737.025712173,0.007040011191196372,571346535.4561424,0.5230674675040425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1310525452.266055,1.2089045850781472,0.0,0.0,1105311070.7937295,2.5341522551526454,0.0,0.0,0.0,0.0,0.0,0.0
91,2127132784.4647508,1.4898680494974896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2031506176.44422,1.468966873098697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2067493940.6215076,1.5015499737748967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,53399736.045571744,0.05304981793240355,453999383.4528321,0.5525166172626512,0.0,0.0,26856191.110031888,0.01547347606728194,0.0,0.0,0.0,0.0
95,1731732670.2474601,1.4813783722491443,0.0,0.0,8386688.1535670925,0.0183330006876987,0.0,0.0,0.0,0.0,0.0,0.0
96,2112890240.0481744,1.4774168024922605,20301376.078709163,0.017544745515999688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,9261611.934728757,0.007495611108596768,18977571.443693183,0.02071283999836018,249975804.98401508,0.4977259678772012,0.0,0.0,9364758.495275656,0.00932758652090139,0.0,0.0
98,615076744.887053,0.4158029170748818,6262149.885698912,0.005693754589640579,0.0,0.0,56651136.67461756,0.025170761205990037,392336743.7373915,0.3393026748121536,0.0,0.0
99,1325806592.1473212,0.9990034731416968,0.0,0.0,48018499.300208,0.09511992006137635,21528595.917943634,0.010973410316550638,687238768.5382538,0.6603443511354294,0.0,0.0
100,17599177.90971094,0.01636261766020902,212522281.96732172,0.24746858505854147,0.0,0.0,52583590.27478756,0.029428462376969482,0.0,0.0,0.0,0.0
101,0.0,0.0,32951296.590344384,0.028748426853660032,13945159.15319086,0.022887672423514537,123637246.24861585,0.04984016717739037,0.0,0.0,0.0,0.0
102,0.0,0.0,72826720.44411524,0.07287029063007275,173853346.6325073,0.32692783388067537,77646683.06206407,0.037147097335270565,8964270.146330286,0.008456139511773951,0.0,0.0
103,0.0,0.0,45569500.12321412,0.0486005371120714,36781376.949539244,0.07425411113889474,30598346.25320577,0.01598785369840443,524669290.11527604,0.5141479676699499,0.0,0.0
104,210529959.343125,0.15417014043229688,43673421.57253292,0.04262074617373371,1547782344.2258863,2.741662999469795,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,423156486.7009538,0.4431610296819236,9876622.968257813,0.020742056112520547,0.0,0.0,24762705.329869732,0.024950998892445966,0.0,0.0
106,1798432875.5287867,1.5028261938470924,5093528.01828264,0.00616100129686839,116002343.69220234,0.2598713793503688,26126213.68557438,0.015074600096270638,700414904.6667536,0.7437785237199025,0.0,0.0
107,3206396.5721533187,0.0019915429954211012,111813294.72688657,0.08971656660854359,1850862664.7167947,2.6851273301820675,65481215.816377126,0.02478246400491654,0.0,0.0,0.0,0.0
108,20174570.98374224,0.01615502259541792,126856456.19323716,0.13040126058057527,1406140236.738226,2.64210153439016,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,72298802.98439693,0.05909660113579898,46306548.27266373,0.07178094432247546,8212352.84897287,0.0034802397006036745,0.0,0.0,0.0,0.0
110,482953054.6457204,0.2986232147828062,309537275.057595,0.24954094874332866,0.0,0.0,21638507.941593755,0.00882238390046013,0.0,0.0,0.0,0.0
111,315284489.4807944,0.19773421658196091,0.0,0.0,1795158344.248674,2.736534543609914,0.0,0.0,0.0,0.0,0.0,0.0
112,1895471228.911128,1.488231204536044,0.0,0.0,0.0,0.0,0.0,0.0,105526417.7369867,0.10346673109752898,0.0,0.0
113,2074028904.605667,1.5074734821477804,198660577.44641396,0.1748387293090911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,581839339.0663306,0.30058445661114674,479392482.5281416,0.3192717040452482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1619803056.3972573,1.479891916692938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,551580787.4094352,0.41435953804998,699219335.089452,0.6572277381230943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,169452143.2775885,0.12088262509618991,0.0,0.0,0.0,0.0,69053752.1008843,0.03258622441855636,0.0,0.0,0.0,0.0
118,118915649.32589734,0.09957902593052369,120085256.44214495,0.131426793103869,10411424.378036868,0.02246398507570761,53407461.09665395,0.028734138074970612,750960189.5802691,0.7518535767273513,0.0,0.0
119,25639595.20737408,0.01747706663580753,300255322.8455926,0.2572360061751998,1690468333.964004,2.6885587090045453,0.0,0.0,0.0,0.0,0.0,0.0
120,1028131673.6569023,0.5673139192491821,0.0,0.0,1940567615.6591625,2.6532593681581296,119248428.6546439,0.03497101683502289,0.0,0.0,0.0,0.0
121,1623622847.363784,1.4842528621873115,0.0,0.0,0.0,0.0,5189899.476292487,0.0032158899219113337,0.0,0.0,0.0,0.0
122,45833907.92233999,0.03324680762102884,774850010.9561443,0.6751566758223366,38544864.31866792,0.06873649547130033,0.0,0.0,0.0,0.0,0.0,0.0
123,78492348.25429848,0.050053230803833886,467424163.25038064,0.37091016546797284,0.0,0.0,105422498.10348698,0.04049526106055441,0.0,0.0,0.0,0.0
124,34204580.84138424,0.0316946565852364,2891433.229829567,0.0036746265621347973,5512729.900163937,0.013131061287515315,60470773.807978824,0.03542871982486953,0.0,0.0,0.0,0.0
